,Blocking_patent,Blocking_action,Blocked_app
947,7199762,103a,12936988
948,6073092,119a,10215048
949,6073092,103,10215048
950,6327299,103a,12088414
951,6459440,103a,12361725
952,6459440,103a,12349153
953,7683918,103a,11876972
954,7683918,103a,11978075
955,7683918,103a,11978075
956,7683918,102e,11978075
957,7683918,103a,11978075
958,7683918,102e,11924399
959,7683918,103a,11876972
960,7230550,103a,13269852
961,7468573,102b,12502647
962,7058407,103a,11956168
963,7058407,119,13357458
964,7500198,102b,12016892
965,7500198,102,10719317
966,7500198,103a,10719317
967,7500198,103a,11367433
968,6424623,101,12699842
969,6424623,101,12699842
970,6424623,112,12699846
971,5758264,103a,12721934
972,6424743,112,11547066
973,6424743,103a,11740840
974,6424743,103a,12164037
975,6424743,103a,12164037
976,7603120,102e,13460532
977,5850611,103a,12064553
978,5850611,103a,12064553
979,5850611,103a,12064553
980,5850611,103a,12064553
981,5850611,103a,12161630
982,5850611,103a,12161630
983,7050419,103a,10597482
984,7050419,103a,11298446
985,7050419,103a,11298446
986,7050419,102e,12499450
987,7050419,103a,11845781
988,7050419,103,11954898
989,7050419,103a,13338677
990,6144276,103a,13342315
991,6018651,103a,12119160
992,7684799,103a,12924196
993,7684799,103a,12924196
994,7684799,103a,12924196
995,6734898,102b,11616870
996,6734898,103a,10469174
997,6734898,103a,10469174
998,6734898,102b,11616870
999,6734898,103,11620158
1000,6734898,103,11620158
1001,6734898,103a,10469174
1002,6734898,103a,10469174
1003,6128735,103a,11027747
1004,6128735,103a,12698894
1005,6128735,103a,11027747
1006,6128735,103a,11737873
1007,6128735,103a,11737873
1008,6128735,103a,12698894
1009,6497975,103a,11831894
1010,6497975,103a,11831894
1011,6497975,102b,12922767
1012,6164531,103a,12393561
1013,7002942,103a,11562979
1014,7136909,119a,11530599
1015,7136909,103a,11530599
1016,7136909,103a,11530599
1017,7136909,103a,12374666
1018,7136909,103a,12374666
1019,7136909,103a,12374666
1020,7136909,119a,11530599
1021,7136909,103a,11530599
1022,6920171,103a,12101054
1023,6920171,103a,12947487
1024,6920171,103,12088453
1025,6920171,103a,12101049
1026,6920171,103a,12101049
1027,6920171,103a,12101054
1028,6920171,103a,12101049
1029,6920171,103a,12101049
1030,6920171,103a,12672955
1031,6920171,103a,12833160
1032,6920171,103a,13101937
1033,6125278,103a,12030050
1034,6125286,102b,12149955
1035,6125286,103a,12149955
1036,6125286,102b,12391932
1037,7136482,103a,10542262
1038,7136482,103a,10542262
1039,7136482,103a,10542262
1040,7136482,103a,13558531
1041,5948066,103a,11658773
1042,5948066,112,10354403
1043,6486874,103a,11580218
1044,6486874,103a,11580218
1045,6486874,103a,11580218
1046,8379655,103a,13263406
1047,6999773,103a,11054771
1048,6999773,103a,11054771
1049,6999773,103a,11054771
1050,6999773,103a,11054771
1051,6999773,103a,11054771
1052,5909444,102e,11955121
1053,6732270,103a,11596574
1054,6732270,103a,11596574
1055,7848739,103a,12309203
1056,7848739,103a,12309203
1057,6421016,103a,12380598
1058,5929776,103,13214983
1059,6704572,119,13052667
1060,6704572,103a,12220853
1061,7106814,103a,12595105
1062,6549789,102b,12083959
1063,6549789,103a,11945684
1064,6549789,103a,11945684
1065,6549789,103a,11945684
