,PatentID,Blockings,Citations,Ratio,Blocking_appnumber
657,6298082,0,10,0.0,0
658,7729715,0,5,0.0,0
659,6252434,0,0,0.0,0
660,6252456,0,1,0.0,0
661,8559458,0,1,0.0,0
662,6080501,1,15,0.06666666666669999,1
663,6041045,0,9,0.0,0
664,6206293,0,142,0.0,0
665,6940820,1,16,0.0625,1
666,5928330,7,95,0.0736842105263,6
667,6236960,3,26,0.115384615385,2
668,6134527,0,6,0.0,0
669,6420960,0,0,0.0,0
670,6014552,3,3,1.0,1
671,7085256,1,4,0.25,1
672,7567664,0,2,0.0,0
673,7623774,0,1,0.0,0
674,8886811,0,0,0.0,0
675,7508348,0,1,0.0,0
676,7046719,0,3,0.0,0
677,6016107,0,13,0.0,0
678,7515910,0,1,0.0,0
679,6810323,2,201,0.00995024875622,2
680,6904550,0,33,0.0,0
681,6509659,4,18,0.222222222222,1
682,8812057,0,0,0.0,0
683,6157906,0,0,0.0,0
684,7154939,0,2,0.0,0
685,6453045,0,10,0.0,0
686,8159402,0,0,0.0,0
687,7202878,0,9,0.0,0
688,7672381,0,10,0.0,0
689,6907237,3,7,0.428571428571,1
690,6649852,2,10,0.2,1
691,5857155,10,30,0.33333333333299997,3
692,7751826,2,40,0.05,2
693,5878352,0,1,0.0,0
694,6927763,0,11,0.0,0
695,5623225,0,0,0.0,0
696,7698726,0,0,0.0,0
697,7516486,0,4,0.0,0
698,7634565,2,1,2.0,1
699,7369524,0,3,0.0,0
700,6133850,0,26,0.0,0
701,6935901,0,2,0.0,0
702,8611300,0,0,0.0,0
703,9155085,0,0,0.0,0
704,8126475,0,0,0.0,0
705,6393079,0,0,0.0,0
706,7145558,0,1,0.0,0
707,6836663,0,3,0.0,0
708,9210680,0,0,0.0,0
709,6216086,4,64,0.0625,3
710,7946775,0,1,0.0,0
711,7453860,0,2,0.0,0
712,8933972,0,0,0.0,0
713,6018764,3,58,0.051724137931,1
714,6298054,0,1,0.0,0
715,7263340,0,1,0.0,0
716,5745695,1,26,0.0384615384615,1
717,6980818,1,3,0.33333333333299997,1
718,7043208,0,46,0.0,0
719,7027838,0,30,0.0,0
720,9241064,0,0,0.0,0
721,8949716,0,0,0.0,0
722,5693434,0,0,0.0,0
723,8365096,0,0,0.0,0
724,6161015,0,10,0.0,0
725,7230930,0,14,0.0,0
726,7289528,0,0,0.0,0
727,6040781,0,34,0.0,0
728,7108931,0,1,0.0,0
729,8893302,0,0,0.0,0
730,6828759,0,4,0.0,0
731,6653816,0,13,0.0,0
732,6763225,0,4,0.0,0
733,7016319,1,52,0.0192307692308,1
734,6317411,5,34,0.14705882352900002,3
735,9153166,0,0,0.0,0
736,6670403,0,0,0.0,0
737,7080397,1,9,0.111111111111,1
738,9047327,0,0,0.0,0
739,7062261,3,44,0.06818181818180001,1
740,6091759,0,17,0.0,0
741,9241339,0,0,0.0,0
742,9030989,0,0,0.0,0
743,5875387,0,2,0.0,0
744,6900544,0,3,0.0,0
745,8543168,0,0,0.0,0
746,6138030,0,1,0.0,0
747,7460842,0,5,0.0,0
748,8174986,0,0,0.0,0
749,6710518,0,21,0.0,0
750,6201526,0,0,0.0,0
751,7096026,0,1,0.0,0
752,6173883,0,0,0.0,0
753,6374177,6,153,0.0392156862745,2
754,6321070,3,18,0.166666666667,2
755,8095170,0,1,0.0,0
756,5923214,5,2,2.5,2
757,7684755,0,7,0.0,0
758,7243163,9,89,0.101123595506,6
759,7583973,2,1,2.0,1
760,6972382,1,3,0.33333333333299997,1
761,7009135,0,0,0.0,0
762,6430214,0,0,0.0,0
763,6334063,2,56,0.035714285714300006,1
764,8102367,0,0,0.0,0
765,6114968,1,22,0.0454545454545,1
766,6112244,3,21,0.14285714285700002,1
767,7502981,0,1,0.0,0
768,9225762,0,0,0.0,0
769,6915312,5,15,0.33333333333299997,1
770,7493117,0,10,0.0,0
771,9053581,0,0,0.0,0
772,7656794,0,0,0.0,0
773,7668549,0,0,0.0,0
774,6487721,19,45,0.422222222222,5
775,8542656,0,0,0.0,0
776,9110534,0,0,0.0,0
777,6043838,10,32,0.3125,6
778,6049543,0,7,0.0,0
779,6182038,0,26,0.0,0
780,5884268,0,0,0.0,0
781,6529748,0,10,0.0,0
782,6529728,1,9,0.111111111111,1
783,8224390,1,1,1.0,1
784,6192253,0,27,0.0,0
785,6766182,0,12,0.0,0
786,7573964,0,2,0.0,0
787,8108344,0,0,0.0,0
788,7688764,5,5,1.0,3
789,6925095,0,1,0.0,0
790,6038549,0,15,0.0,0
791,8503999,0,0,0.0,0
792,8090378,0,0,0.0,0
793,6012634,3,25,0.12,1
794,8995966,0,0,0.0,0
795,8438590,0,0,0.0,0
796,7746928,0,3,0.0,0
797,7606152,0,0,0.0,0
798,8369489,0,0,0.0,0
799,7413110,0,1,0.0,0
800,6976861,0,1,0.0,0
801,7539466,0,16,0.0,0
802,5710998,0,35,0.0,0
803,9170714,0,0,0.0,0
804,6108314,2,31,0.0645161290323,1
805,7657272,1,0,0.0,1
806,6078794,0,1,0.0,0
807,6002948,2,3,0.666666666667,1
808,7076428,0,25,0.0,0
809,9048524,0,0,0.0,0
810,8750334,0,0,0.0,0
811,6640222,0,2,0.0,0
812,6934549,0,5,0.0,0
813,6775536,1,22,0.0454545454545,1
814,7242955,0,0,0.0,0
815,7023814,1,2,0.5,1
816,6691028,0,8,0.0,0
817,9094272,0,0,0.0,0
818,6952457,0,1,0.0,0
819,6526031,1,7,0.14285714285700002,1
820,5959546,8,6,1.33333333333,2
821,8787773,0,0,0.0,0
822,7170896,0,0,0.0,0
823,7983428,0,3,0.0,0
824,9122092,0,0,0.0,0
825,8576096,0,0,0.0,0
826,7068719,5,7,0.714285714286,1
827,6967700,0,2,0.0,0
828,6859456,0,2,0.0,0
829,6125110,0,4,0.0,0
830,8223426,0,1,0.0,0
831,8638951,0,0,0.0,0
