"","pub_year","cit_month","count"
"778","2012",2014-03-01,25
"779","2013",2014-03-01,24
"780","2014",2014-03-01,0
"781","1994",2014-04-01,1
"782","1996",2014-04-01,1
"783","1997",2014-04-01,15
"784","1998",2014-04-01,119
"785","1999",2014-04-01,210
"786","2000",2014-04-01,166
"787","2001",2014-04-01,121
"788","2002",2014-04-01,96
"789","2003",2014-04-01,114
"790","2004",2014-04-01,113
"791","2005",2014-04-01,125
"792","2006",2014-04-01,144
"793","2007",2014-04-01,86
"794","2008",2014-04-01,53
"795","2009",2014-04-01,55
"796","2010",2014-04-01,32
"797","2011",2014-04-01,32
"798","2012",2014-04-01,22
"799","2013",2014-04-01,21
"800","2014",2014-04-01,0
"801","1994",2014-05-01,0
"802","1996",2014-05-01,1
"803","1997",2014-05-01,13
"804","1998",2014-05-01,79
"805","1999",2014-05-01,112
"806","2000",2014-05-01,110
"807","2001",2014-05-01,124
"808","2002",2014-05-01,79
"809","2003",2014-05-01,82
"810","2004",2014-05-01,89
"811","2005",2014-05-01,99
"812","2006",2014-05-01,82
"813","2007",2014-05-01,68
"814","2008",2014-05-01,37
"815","2009",2014-05-01,43
"816","2010",2014-05-01,32
"817","2011",2014-05-01,28
"818","2012",2014-05-01,17
"819","2013",2014-05-01,24
"820","2014",2014-05-01,0
"821","1994",2014-06-01,0
"822","1996",2014-06-01,0
"823","1997",2014-06-01,5
"824","1998",2014-06-01,73
"825","1999",2014-06-01,134
"826","2000",2014-06-01,146
"827","2001",2014-06-01,123
"828","2002",2014-06-01,87
"829","2003",2014-06-01,108
"830","2004",2014-06-01,98
"831","2005",2014-06-01,106
"832","2006",2014-06-01,93
"833","2007",2014-06-01,58
"834","2008",2014-06-01,46
"835","2009",2014-06-01,30
"836","2010",2014-06-01,35
"837","2011",2014-06-01,34
"838","2012",2014-06-01,21
"839","2013",2014-06-01,13
"840","2014",2014-06-01,0
"841","1994",2014-07-01,0
"842","1996",2014-07-01,2
"843","1997",2014-07-01,13
"844","1998",2014-07-01,85
"845","1999",2014-07-01,166
"846","2000",2014-07-01,158
"847","2001",2014-07-01,117
"848","2002",2014-07-01,103
"849","2003",2014-07-01,91
"850","2004",2014-07-01,105
"851","2005",2014-07-01,78
"852","2006",2014-07-01,103
"853","2007",2014-07-01,67
"854","2008",2014-07-01,44
"855","2009",2014-07-01,47
"856","2010",2014-07-01,42
"857","2011",2014-07-01,34
"858","2012",2014-07-01,31
"859","2013",2014-07-01,14
"860","2014",2014-07-01,1
"861","1994",2014-08-01,0
"862","1996",2014-08-01,0
"863","1997",2014-08-01,9
"864","1998",2014-08-01,79
"865","1999",2014-08-01,138
"866","2000",2014-08-01,144
"867","2001",2014-08-01,103
"868","2002",2014-08-01,97
"869","2003",2014-08-01,112
"870","2004",2014-08-01,110
"871","2005",2014-08-01,91
"872","2006",2014-08-01,97
"873","2007",2014-08-01,60
"874","2008",2014-08-01,36
"875","2009",2014-08-01,36
"876","2010",2014-08-01,34
"877","2011",2014-08-01,37
"878","2012",2014-08-01,19
"879","2013",2014-08-01,15
"880","2014",2014-08-01,1
"881","1994",2014-09-01,0
"882","1996",2014-09-01,0
"883","1997",2014-09-01,10
"884","1998",2014-09-01,72
"885","1999",2014-09-01,117
"886","2000",2014-09-01,175
"887","2001",2014-09-01,96
"888","2002",2014-09-01,111
"889","2003",2014-09-01,115
"890","2004",2014-09-01,130
"891","2005",2014-09-01,101
"892","2006",2014-09-01,112
"893","2007",2014-09-01,92
"894","2008",2014-09-01,41
"895","2009",2014-09-01,59
"896","2010",2014-09-01,45
"897","2011",2014-09-01,32
"898","2012",2014-09-01,21
"899","2013",2014-09-01,25
"900","2014",2014-09-01,2
"901","1994",2014-10-01,0
"902","1996",2014-10-01,1
"903","1997",2014-10-01,8
"904","1998",2014-10-01,70
"905","1999",2014-10-01,126
"906","2000",2014-10-01,104
"907","2001",2014-10-01,119
"908","2002",2014-10-01,81
"909","2003",2014-10-01,95
"910","2004",2014-10-01,88
"911","2005",2014-10-01,77
"912","2006",2014-10-01,80
"913","2007",2014-10-01,45
"914","2008",2014-10-01,47
"915","2009",2014-10-01,29
"916","2010",2014-10-01,51
"917","2011",2014-10-01,26
"918","2012",2014-10-01,30
"919","2013",2014-10-01,18
"920","2014",2014-10-01,3
"921","1994",2014-11-01,0
"922","1996",2014-11-01,0
"923","1997",2014-11-01,7
"924","1998",2014-11-01,59
"925","1999",2014-11-01,123
"926","2000",2014-11-01,92
